index;title;score;type;categories;most relevant words
81;Arthur Wellesley, 1. Duke of Wellington;6;person;Arthur Wellesley, 1. Duke of Wellington, Duke of Wellington, Britischer Premierminister, Außenminister (Vereinigtes Königreich), Innenminister (Vereinigtes Königreich), Abgeordneter des Irish House of Commons, Abgeordneter des House of Commons (Vereinigtes Königreich), Politiker (18. Jahrhundert), Politiker (19. Jahrhundert), Mitglied des House of Lords, Mitglied des Privy Council (Vereinigtes Königreich), Feldmarschall (Vereinigtes Königreich), Generalfeldmarschall (Preußen), Oberbefehlshaber der britischen Armee, Person in den Koalitionskriegen (Vereinigtes Königreich), Britischer Botschafter in Frankreich, Teilnehmer am Wiener Kongress, Lord Warden of the Cinque Ports, Mitglied der Akademie gemeinnütziger Wissenschaften zu Erfurt, Freimaurer (18. Jahrhundert), Freimaurer (19. Jahrhundert), Freimaurer (Vereinigtes Königreich), Mitglied der Royal Society, Person (Wellington), Ritter des Hosenbandordens, Knight Grand Cross des Order of the Bath, Ritter des Schwarzen Adlerordens, Träger des Militär-Max-Joseph-Ordens (Großkreuz), Großkreuz des Guelphen-Ordens, Träger des Militär-Maria-Theresien-Ordens (Großkreuz), Träger des Elefanten-Ordens, Ritter des Ordens vom Goldenen Vlies, Träger des Ordens des Heiligen Georg, Ritter des Ordens vom Heiligen Geist, Person (Dublin), Wellesley (Adelsgeschlecht), Brite, Geboren 1769, Gestorben 1852, Mann;wellington, kategorie, schlacht, wellesley, duke, house, britischen, truppen, wellingtons, portugal, französischen, spanien, lord, erhielt, amt, vereinigtes, königreich, london, mai, britische
83;Angelina Jolie;21;person;Angelina Jolie, Filmschauspieler, Filmregisseur, Filmproduzent, Drehbuchautor, Synchronsprecher, Oscarpreisträger, UN-Sonderbotschafter, Golden-Globe-Preisträger, Mitglied im Council on Foreign Relations, Honorary Dame Commander des Order of St. Michael and St. George, Darstellender Künstler (Los Angeles), Ehrenbürger von Sarajevo, US-Amerikaner, Kambodschaner, Geboren 1975, Frau;jolie, ref, film, angelina, spielte, pitt, award, name, rolle, jahr, us-dollar, jolies, nominierung, kategorie, erhielt, beste, hauptdarstellerin, dreharbeiten, schrieb, juni
84;Archimedes;9;person;Archimedes, Person im Zweiten Punischen Krieg, Mathematiker der Antike, Erfinder, Physiker (vor dem 16. Jahrhundert), Strömungsmechaniker, Person als Namensgeber für einen Asteroiden, Namensgeber für einen Mondkrater, Grieche (Antike), Person (Syrakus), Geboren im 3. Jahrhundert v. Chr., Gestorben 212 v. Chr., Mann;archimedes, band, übersetzung, chr., syrakus, schriften, körper, jahrhundert, lateinisch, kategorie, kugel, zeit, ebener, flächen, heiberg, zylinder, gleichgewicht, parabel, methode, kreismessung
85;Aristoteles;15;person;Aristoteles, Philosoph (Antike), Moralphilosoph, Erkenntnistheoretiker, Logiker, Naturphilosoph, Physiker (vor dem 16. Jahrhundert), Sprachphilosoph, Ästhetiker, Universalgelehrter, Politischer Philosoph, Metaphysik, Zoologe, Person als Namensgeber für einen Asteroiden, Namensgeber für einen Mondkrater, Grieche (Antike), Geboren 384 v. Chr., Gestorben 322 v. Chr., Mann;aristoteles, form, schriften, jahrhundert, isbn, materie, menschen, besteht, met, substanz, prämissen, prinzipien, chr., philosophie, veränderung, lebewesen, wissenschaft, pol, unterscheidet, kategorie
86;Abraham Lincoln;24;person;Abraham Lincoln, Präsident der Vereinigten Staaten, Mitglied des Repräsentantenhauses der Vereinigten Staaten für Illinois, Mitglied des Repräsentantenhauses von Illinois, Mitglied der United States Whig Party, Mitglied der Republikanischen Partei (Vereinigte Staaten), Person im Sezessionskrieg, Opfer eines Attentats, Mordopfer, Rechtsanwalt (Vereinigte Staaten), Namensgeber für ein Schiff, Politiker (19. Jahrhundert), US-Amerikaner, Geboren 1809, Gestorben 1865, Person (Duell), Mann, Person als Namensgeber für einen Asteroiden;lincoln, abraham, lincolns, sklaverei, union, illinois, staaten, isbn, john, washington, präsident, usa, new, norden, krieg, präsidenten, kategorie, york, jahr, partei
90;Angela Merkel;15;person;Angela Merkel, Bundeskanzler (Deutschland), Amtierender Regierungschef (Europa), Familienminister (Bundesrepublik Deutschland), Umweltminister (Bundesrepublik Deutschland), Bundesparteivorsitzender der CDU, Generalsekretär der CDU, Bundestagsabgeordneter (Mecklenburg-Vorpommern), Vorsitzender der CDU/CSU-Bundestagsfraktion, Parteivorsitzender der CDU Mecklenburg-Vorpommern, DA-Mitglied, Funktionär der Freien Deutschen Jugend (DDR), Politiker (20. Jahrhundert), Politiker (21. Jahrhundert), Person (deutsch-französische Beziehungen), Träger des Verdienstordens der Italienischen Republik (Großkreuz), Träger des Ordens Stara Planina, Träger des Ordens El Sol del Perú (Collane), Träger des Ordens des Infanten Dom Henrique (Großkreuz), Träger der Presidential Medal of Freedom, Träger des Bundesverdienstkreuzes (Großkreuz), Träger des norwegischen Verdienstordens (Großkreuz), Träger des Großen Goldenen Ehrenzeichens am Bande für Verdienste um die Republik Österreich, Träger des Vytautas-Magnus-Ordens (Großkreuz), Träger der Wilhelm-Leuschner-Medaille, Karlspreisträger, Ehrenbürger von Templin, Ehrendoktor der Hebräischen Universität Jerusalem, Ehrendoktor der Technischen Universität Breslau, Ehrendoktor der Handelshochschule Leipzig, Ehrendoktor der Universität Leipzig, Ehrendoktor der Universität Bern, Ehrendoktor der Universität Tel Aviv, Ehrendoktor der Babeș-Bolyai-Universität Cluj, Ehrendoktor einer Universität in Südkorea, Ehrendoktor der Angel-Kantschev-Universität Russe, Ehrendoktor einer Universität in den Vereinigten Staaten, Ehrendoktor einer Universität in China, Ehrendoktor einer Universität in der Slowakei, Ehrendoktor der Radboud-Universität Nijmegen, Ehrendoktor der Universität Szeged, Ehrendoktor der Katholieke Universiteit Leuven (KUL), Ehrendoktor der Universität Gent, Ehrendoktor der Universität Haifa, Ehrendoktor der Harvard University, DDR-Bürger, Deutscher, Geboren 1954, Frau;merkel, angela, kategorie, deutschland, merkels, cdu, ref, universität, bundestagswahl, november, bundeskanzlerin, dezember, prozent, oktober, märz, isbn, koalition, spd, september, verliehen
91;Alicia Silverstone;12;person;Filmschauspieler, Theaterschauspieler, US-Amerikaner, Geboren 1976, Frau, Sachbuchautor (Essen und Trinken), Person (Veganismus);silverstone, awards, clueless, beste, nominiert, schauspielerin, gewonnen, spielte, film, mtv, movie, kategorie, komödie, folgen, batman, robin, biest, jahr, alicia, jahren
92;Al-Bīrūnī;6;person;Al-Biruni, Universalgelehrter, Kartograf (Mittelalter), Astronom (islamisches Mittelalter), Islamische Medizin, Mediziner des Mittelalters, Astrologe (11. Jahrhundert), Namensgeber für einen Mondkrater, Übersetzer aus dem Arabischen, Übersetzer aus dem Altgriechischen, Übersetzer ins Sanskrit, Choresmien, Iranistik, Perser, Geboren 973, Gestorben 1048, Mann;kategorie, abu, al-biruni, al-biruni, buch, kath, kitāb, abū, übersetzer, choresmien, ibn, muhammad, al-bīrūnī, jahre, mansur, ibn, mahmud, al-birunis, briefmarke, r-raihan
95;Anna Seghers;21;person;Anna Seghers, Autor, Pseudonym, Literatur (20. Jahrhundert), Literatur (Deutsch), DDR-Literatur, Schriftsteller (Berlin), Roman, Epik, Erzählung, Exilliteratur, Emigrant aus dem Deutschen Reich zur Zeit des Nationalsozialismus, Emigrant in Frankreich, Person (Bewegung Freies Deutschland), NS-Opfer, Träger des Ordens des Roten Banners der Arbeit, Träger des Nationalpreises der DDR I. Klasse für Kunst und Literatur, Träger des Karl-Marx-Ordens, Träger des Vaterländischen Verdienstordens in Gold, Träger des Sterns der Völkerfreundschaft, Träger der Johannes-R.-Becher-Medaille, Träger des Internationalen Stalin-Friedenspreises, Ehrenbürger von Berlin, Ehrenbürger von Mainz, Ehrenbürger der Johannes Gutenberg-Universität Mainz, Ehrendoktor der Friedrich-Schiller-Universität Jena, Mitglied des Heinrich-Heine-Klubs, Mitglied der Akademie der Künste (DDR), SED-Mitglied, KPD-Mitglied, Person des Judentums (Mainz), Deutscher, DDR-Bürger, Geboren 1900, Gestorben 1983, Frau;seghers, kategorie, anna, regie, berlin, mainz, ddr, isbn, mann, träger, mitglied, erzählung, jahr, exil, siebte, kreuz, mexiko, verlag, fischer, zeit
97;Arvo Pärt;9;person;Arvo Pärt, Komponist klassischer Musik (20. Jahrhundert), Komponist klassischer Musik (21. Jahrhundert), Komponist (Estland), Komponist (Kirchenmusik), Träger des Ordens des Staatswappens (I. Klasse), Träger des österreichischen Ehrenzeichens für Wissenschaft und Kunst, Träger des österreichischen Ehrenkreuzes für Wissenschaft und Kunst I. Klasse, Träger der Gloria-Artis-Medaille für kulturelle Verdienste, Ehrendoktor der Universität Tartu, Person als Namensgeber für einen Asteroiden, Mitglied der Ehrenlegion (Ritter), Mitglied der Estnischen Akademie der Wissenschaften, Mitglied der American Academy of Arts and Letters, Este, Österreicher, Geboren 1935, Mann;chor, gemischten, pärt, streichorchester, cappella, klavier, kategorie, vierstimmig, arvo, musik, orgel, orchester, zwei, violine, schlagzeug, komponist, bzw., singstimmen, sopran, sinfonie
